,Name,Tweet
21,paulmacko,Google and Apple urged to ban TikTok app by FCC commissioner - The Washington Post  https://t.co/yXGk19lX9m
22,seendizzle,"@DagothSlur Combat advice maybe? Cooking, the apple people, animal stuff"
23,kerri_may,@ev4i20 @Linda45789701 @smsmnr @jk_rowling You don’t have a valid point. You are comparing an reversible minor procedure that allows future fertility with an irreversible major operation that ends fertility forever. Apples and oranges
24,thunderinglare,"He is just so incredibly stupid, i want to shake him like an apple tree."
25,judgedr68446317,@Acciden52525353 @sabine_kayani @soldierspeaks This is not about the institution but exposing some of the bad apples who are bringing this institution into disrepute..
26,allenholub,"@vydra @dorofeevilya That's just a hallmark of an incompetent marketing team. Look at Apple. They're not selling features, they're selling a better life. You know the strategic goals long in advance of doing anything that requires planning. Market based on that."
27,stopdeletingamy,Will Byers can’t die he has to hear Paper Bag by Fiona Apple
28,brandylmilton,"My 6 yr old girl is a genius. With her blocks, she ""invented"" a book vending machine that can paint fingernails and gives you an apple.   I am HERE for it!!!"
29,buggableep,"mr. dick suck got all of the big dumb stupid dumb fart, pain and suffering. and that proves tea is better than apple cider, so suck my dick!"
30,bellejamaica1,US TikTok ban back on the cards as FCC commissioner asks Apple and Google to remove app from stores  https://t.co/rVnxjy8xd2
31,pikeydarren,"@Tone87Zebra He's an ugly bastard like, brushes his hair with a toffee apple mate 🤮🤮🤮"
32,chucklew332,@Apple how do I get rid of the “time to stand up” notification on my Apple Watch? It’s bad for my mental health to be seeing it so often everyday
33,netmemebot,2009年 10月〜 Bad Apple!!  https://t.co/mPLJxtiP0l
34,takethehighview,"An archaeological student hard at work at The Cairns field school,  captured with the  @Apple iPhone 13 pro and @Polycam3D mobile app. @orkneycom @DigItScotland @digitalarchaeo @DigiArchaeo  https://t.co/ZbgQ9TxkgH"
35,mikesington,FCC calls on Google and Apple to ban TikTok because the China owned app “harvests swaths of sensitive data” and is a serious national security risk.  https://t.co/i0sMQMxDCu
36,gtorrey32,"I Gotta Buy Me A New Phone .. It Seems Every 2 Years I Gotta Buy A New Phone , For Some Reason My Volume Always Go Dull .. Apple Think They Slick I Believe They Do That Shit On Purpose.."
37,null_organism,"@Sphizix @BrendanCarrFCC @Apple @Google Im only handwaving a stupid solution to a tiny symptom of the greater data property rights issue my dude, you can trust that i have clearly put more thought into this matter than the average person on here screaming tiktok bad while simultaneously missing the actual big picture."
38,plqmheekkk1101,"Answers will needed, and every day I’m proven wrong. An apple ؟?  نمشے  H70"
39,alwaysnae21,i freaking hate how these damn apple calls still go through being that it was an accident 🤬
40,jayyfromhouston,@KeyGLOCK drop that “ 7:12 pm ” on Apple Music we need that one too !! 🔥🔥💛
41,betterway16,"@Laurie9203 @FlossSays @MartinKulldorff @AllisterHeath @collateralglbl Sweden shut down a lot more than people think. Theaters closed for years, upper schools for one year, elderly told to not see their families for a long time. And more dead than Scandinavian neighbors with tougher policies. Complex, and hard to compare Apple to apples."
42,kenyattamonai_,It’s crazy I have no clue where my Apple Watch is 🤣🤣🤣
43,mucpue,@Apple what’s the damn problem with Wi-Fi on the #iPhone ? Isn’t working simultaneously with cell signal? Why going #airplane mode to improve Wi-Fi.?
44,rustigniffauw,imagine driving your apple car on the motorway and the OS updates now your car starts lagging.
45,fbot64088225000,"I got 6 problem, but a apple ain't one"
46,appleinsider,Apple TV reveals teaser and premiere date for final season of 'See' series  https://t.co/HHEFPXzNfl
47,wkortepeter,FCC commissioner tells Google and Apple to ban TikTok by July 8   https://t.co/h8FuZZ98fo
48,jasonrashaad,@CopaceticMES Don't be embarrassed. Good apple juice is sneakily addictive. I had to walk away from @AppleandEve_ for a while. It was becoming a problem.
49,dougalmcdougal2,"@Mattyice6694 @ShopAEW @JonMoxley And I understand that, and those bad apples with RWB don’t speak for all of us, that’s really the unfortunate part of the world today is the bad apples making more noise than the majority good you know?"
50,cooliopenguin,"I really wonder how #iCloudPrivateRelay conforms to GDPR. Can't relaying data through US infrastructure violate that? Does a ""beta"" label really help here when this is available to anyone? #Apple"
51,8news,"FCC commissioner urges Google, Apple to drop TikTok app  https://t.co/ec6AnDBLrV"
52,kennetthss,"I’ve worked in customer service and i know how’s the drill but Apple Customer Service is literally so bad, they don’t even read what you are asking for and it’s so annoying after explaining the same thing 3 times…"
53,wierwanda,"@kot_b0t Niedługo ten problem się rozwiąże, Apple przenosi produkcję do Indii, Malezji i Wietnamu"
54,reauxlex_,Apple finna piss me off bc why u trynna raise yo Apple Music prices when the shit should b included already!!
55,notjqnotjq,"Idk, if this asshole was on my Apple trackpads ov…."
56,ssimpsonrose,@MarVistaWriter @GunnyJ I have said the exact same about the GOP men who testified..but they spoke out in public in opposition to Trump so you are comparing apples &amp; oranges..a bit disengious on your part..trying to smear Dems as mysognistic. I want her to get protection like SC..she has GOP to fear.
57,kurodan13,"DAZN for docomo 月額3,000円（税込）  スマートテレビまたは、Apple TV, Amazon Fire TV ,  Chromecast をつなぎ、大画面で楽しめます。  リンクはこちら↓  https://t.co/jSwjEVeHMW #DAZN #ドコモ #野球 #サッカー #スポーツ"
58,gregghartley__,@xyxint @Itshaber I think you pay for name there. If they weren't Apple they'd be a little cheaper.   And Haber would probably lose one 🤣
59,coolur296,"I'll peel and slice some apples for you, so please eat them later."
60,jadiorrrrr,Had me some hot tea with honey and a drop of apple cider vinegar 🥴
61,misterex65,@madeline_cct Because sadly people see 1 bad apple and the whole culture is tarred with the same brush. Too many people in ivory towers and wearing blinkers. Its an embarrassment.....
62,investorideas,In Case you Missed it - #Microchip Shortage Continues: #Stocks in the news: (OTCPINK: $GTCH) (NasdaqGS: $INTC) (NasdaqGS: $AAPL) (NasdaqGS: $SNPS) (NYSE: $TSM) @Intel @Apple @Synopsys #markets #Finance #Business #Investing #tech #technology #microchips  https://t.co/lJzaTH2r09  https://t.co/pDFB7DVkAQ
63,hannaaase,"There are few things in this world made, that are more annoying than the short iPhone charger. #apple  https://t.co/Rbw9trgGzZ"
64,kxan_news,"FCC commissioner urges Google, Apple to drop TikTok app   https://t.co/3mWY7E2yfT"
65,jongallagher244,"Products including Apple Pay Later are options for consumers looking to buy now and delay the payments, but spending too much can be a problem.  https://t.co/sA6AfQf97f  https://t.co/uCjpqzOo8q"
66,yourfavlexxx,Bruhhhh i hate apple sometimes. My phone keeps randomly signing me out of iMessage and not letting me sign back in. Hate it hereeeee
67,kudazimbabwe1,@BrendanCarrFCC @Apple @Google So you think big tech in silicon valley has been collecting sticks  and 🍒 s ?? The hypocrisy is shocking !
68,trueswagg908,The apple store customer service is TERRIBLE
69,yoggik,@RonFilipkowski Or it's bc his Dad is Fool! Apple 🍎-&gt;Tree!
70,vjanesitaaa,ever since julion came back on apple music I haven’t been able to stop listening to him! 🤍🤍🤍
71,ttl_strngr,"@sabine_kayani @soldierspeaks Hey @OfficialDGISPR , just look at the replies under this tweet. How pak nation still stands with its army, while you and few personnel, the bad apples are destroying our great institutions. Think again, re-evaluate yourself."
72,betosanchezm,"Adiós a #TikTok, #Apple y #Google retiran la #App de su tienda -  https://t.co/kCtAqRDrc7  , #Geek #Tecnología  https://t.co/py6LNCG4Tj"
73,morganjenkins_,willingly eating at apple bees is gastrointestinal suicide
74,dblenich,@frittenundbier Endlich folgt dir die NATO und sogar Apple. Oh Moment...
75,redrustygates,@EpochTimes @FCC @Apple @Google Remember when we tried warning people about this and they called us racists and told us to shut up.  They get what they deserve.
76,stillthreeleven,@JaylonAllen5 I’ll got you w an apple when we get back on camp brother 💯
77,servegjade,I want my Apple Pay full of losers like you! Send me your info so I can request what’s mine.
78,abdulla97240128,@cz_binance @binance Integration with Apple Pay wallet.
79,yazdazkafrazz,@FenixFire226 @SrCamazotz @Trunks_NJ @emeriId Be mad at hi Rez for an issue we already knew about?? That makes zero sense. They went down we are used to it. The issue is that Mizkif is getting bashed for rigging the tournament or so that's what the players felt like. Smite has its bad apples but to demonize everyone?
